Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_49_906.jpg;0;0;0;0;99.9399;86.00563;0.0002404136;28.20148;1.845346E-06
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_49_977.jpg;0;0;0;0;99.9399;86.00563;0.0002402492;28.20148;2.120078E-06
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_052.jpg;0;0;0;0;99.9399;86.00563;0.00024003;28.20148;2.486367E-06
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_122.jpg;0;0.222639;0;0;99.94189;86.00669;0.04921213;28.17501;2.914838E-06
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_195.jpg;0;0.4334873;0;0.01495982;99.94415;86.00789;0.1001515;28.25338;-0.000117244
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_269.jpg;0;0.6514907;0;0.03332225;99.95053;86.01132;0.2410658;28.26622;-7.530617E-05
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_337.jpg;0;0.8700689;0;0.0793929;99.95921;86.01601;0.4288911;28.44386;-0.0009126562
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_411.jpg;0;1;0;0.1245052;99.97555;86.02476;0.7247119;28.48866;-0.0005373334
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_484.jpg;0;1;0;0.1910141;99.99653;86.03609;1.047839;28.52272;-0.0009828578
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_554.jpg;0;1;0;0.2674839;100.0152;86.04615;1.279648;28.73378;-0.002823493
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_629.jpg;0;1;0;0.2965447;100.0391;86.05849;1.237537;28.79518;-0.002134612
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_699.jpg;0;1;0;0.3797748;100.0592;86.06924;1.121506;28.68394;0.0004414321
C:\Users\arnab\Desktop\Machine learning and AI\Robotics Software Engineer Udacity\Term 1\Roversim folder\IMG\robocam_2018_11_14_23_25_50_773.jpg;0;1;0;0.4424185;100.0918;86.08688;1.080693;28.65637;-0.001630838
